ID	Lat	Lon
1.22636E+11	3.53	39.05
2.05519E+11	38.25	90.85
4.25724E+11	38.18	-85.73
2.22315E+11	50.87	132.25
1.41688E+11	-33.52	26.82
1.25672E+11	-23.38	43.73
6.2104E+11	51.8	-8.25
5.01948E+11	-32.78	151.82
5.28919E+11	-19.87	-145
2.21471E+11	35.97	128.95
2.07428E+11	22.65	88.45
2.05568E+11	25.02	102.68
6.04377E+11	40.72	46.42
6.474E+11	37.1	41.2
4.25004E+11	29.06	-96.23
4.25002E+11	46.06	-88.63
4.25704E+11	59.24	-135.44
6.49172E+11	38	27.4
4.25726E+11	42.62	-123.37
4.25004E+11	34.75	-83.08
4.25703E+11	59.63	-151.5
4.25003E+11	41.27	-98.47
4.25002E+11	39.27	-75.87
4.03717E+11	46.65	-60.4
4.25003E+11	48.91	-103.29
4.25723E+11	32.12	-110.93
5.05964E+11	3.2	113.03
4.25004E+11	45.83	-119.26
5.01945E+11	-27.98	143.82
2.2223E+11	70.4	58.8
5.01958E+11	-32.05	150.87
1.41683E+11	-26.95	24.63
1.51654E+11	6.58	1.5
4.25001E+11	30.78	-83.57
4.25001E+11	41.85	-89.5
4.25702E+11	United     66.58	-145.08
2.03419E+11	24.3	91.73
6.37153E+11	mania      45.70	23.5
6.50336E+11	48.77	30.23
1.27613E+11	14.52	-4.1
7.0089E+11	-77.87	-34.62
4.25003E+11	35.4	-80.2
6.17105E+11	51.17	14.95
2.05569E+11	24.53	103.77
1.22637E+11	-0.47	39.63
4.25004E+11	43.67	-123.33
6.49172E+11	39.13	34.17
6.23163E+11	40.6	14.3
1.01604E+11	36.18	5.42
4.0372E+11	53.83	-128.48
2.10478E+11	30.73	131
5.03977E+11	-2.55	140.55
5.01947E+11	-34.18	150.62
2.07432E+11	15.85	74.62
6.49171E+11	40.9	26.4
4.25001E+11	41.64	-84.99
2.10478E+11	31.27	130.3
2.08408E+11	31.33	48.67
2.03419E+11	24.72	90.43
5.25918E+11	-9.02	-158.07
1.3361E+11	18.68	12.92
4.25003E+11	42.74	-73.81
2.05513E+11	45.37	90.53
6.34014E+11	59.3	4.88
5.01944E+11	-22.33	149.53
1.34651E+11	11.85	13.08
1.03653E+11	6.35	2.38
3.14804E+11	7.85	-72.45
1.33611E+11	13.78	8.98
3.02854E+11	-21.95	-63.65
4.0372E+11	53.57	-127.93
5.01942E+11	Was 00   -15.47	128.1
5.09981E+11	19.27	121.47
4.03719E+11	49.78	-94.37
4.25001E+11	33.08	-83.25
4.25723E+11	33.72	-118.27
6.36086E+11	tugal      40.50	-7.3
3.0384E+11	-30	-51.18
5.07933E+11	-38.65	177.98
4.25746E+11	36.73	-97.1
2.10477E+11	35.48	134.23
5.01948E+11	-34.95	150.53
4.25005E+11	42.83	-90.79
4.25003E+11	41.28	-84.39
4.25E+11	39.51	-123.76
6.51033E+11	53.35	-2.27
4.25002E+11	39.64	-78.76
6.10176E+11	34.88	33.63
2.07434E+11	9.95	76.27
1.48627E+11	15.32	35.6
2.22284E+11	56.83	53.45
4.03714E+11	44.75	-65.52
4.25001E+11	38.86	-99.34
4.25003E+11	43.03	-73.82
2.22317E+11	48.53	135.23
2.22307E+11	53.75	119.73
4.25004E+11	45.46	-123.87
5.32916E+11	-22.02	166.22
6.49171E+11	40.73	31.6
4.25004E+11	36.59	-79.39
4.25726E+11	42.37	-122.87
4.03719E+11	70.17	-124.7
2.05561E+11	31.62	100
6.39134E+11	43.33	21.9
5.01946E+11	-31.9	116
4.25001E+11	38.18	-99.1
4.25004E+11	40.53	-112.3
5.01947E+11	-34.63	148.02
1.48627E+11	18.55	31.85
2.22257E+11	62.43	166.08
4.25E+11	34.74	-87.6
1.6562E+11	-20.88	55.52
5.05486E+11	4.47	101.38
4.25003E+11	36.42	-97.87
6.35127E+11	49.47	22.33
1.3864E+11	-4.67	55.52
2.23404E+11	26.2	36.47
4.25746E+11	39.7	-91.4
2.05578E+11	26.17	109.78
5.01946E+11	-32.37	117
4.2479E+11	10.62	-61.35
4.25002E+11	37.39	-93.95
6.38342E+11	51.57	46.03
6.38272E+11	58.52	49.32
5.01948E+11	-35.07	138.85
6.1403E+11	60.3	25
6.49171E+11	41.2	29.1
3.03822E+11	-2.4	-54.3
4.03715E+11	49.25	-124.83
4.25003E+11	42.51	-102.69
2.19418E+11	25.07	61.8
4.25724E+11	39.13	-75.47
2.05599E+11	18.23	109.52
4.03719E+11	53.13	-109.4
1.31673E+11	-17.88	36.88
5.01945E+11	-29.47	149.85
2.0141E+11	31.5	65.85
4.03716E+11	ada        44.60	-80.9
4.03719E+11	54.57	-130.43
2.05576E+11	29.03	114.58
4.03719E+11	50.88	-113.05
2.0551E+11	45.22	127.97
4.03711E+11	53.28	-104.33
4.0372E+11	61.37	-139.05
2.05561E+11	31.73	98.57
4.03719E+11	55.73	-120.18
2.07429E+11	21.1	79.05
2.22254E+11	66.17	-169.83
4.03719E+11	51.25	-120.18
6.23162E+11	43.68	10.38
6.49171E+11	39.2	37.4
2.08407E+11	38.08	46.28
4.15787E+11	12.1	-85.37
6.26264E+11	56.97	24.05
2.11365E+11	48.75	82.37
4.25E+11	35.6	-119.35
6.49171E+11	41.1	42.7
4.25004E+11	38.99	-110.15
2.24435E+11	6.8	81
